question,QSR-type,,,,,,
How many hospitals are there in Oxford?,,,,,,,
How many pharmacies are in 200 meter radius of High Street in Oxford?,,,,,,,Is
Which is the closest airport to London?,,,,,,,
How many underground lines does London have?,,,,,,,
Which restaurants are near* Edinburgh Castle?,,,,,,,
Which hotels are near Big Ben?,,,,,,,
How many counties does England have?,,,,,,,
Does England have more counties than Ireland?,,,,,,,
Which airports are in Ireland?,YES,Topo,,,,,
Which restaurants are close to London Bridge?,,,,,,,
Is the Castle of Edinburgh less than 2km away from Calton Hill?,,,,,,,
Which hospitals are close to Stirling Castle?,,,,,,,
Is there any hospital in a range of 1 km from Jubilee Gardens in London?,,,,,,,
Where is the closest market to Elephant and Castle underground station?,,,,,,,
Which is the highest point in Cheshire?,,,,,,,
Which counties border county Lincolnshire?,YES,Topo,,,,,
Which is the largest lake in England?,,,,,,,
Which is the highest building in London?,,,,,,,
Where is Loch Goil located?,,,,,,,
Which theaters are near Trafalgar Square?,,,,,,,
Which airports are in London?,YES,Topo,,,,,
Which bridges cross River Thames?,YES,Topo,,,,,
Through which cities does River Thames flow?,,,,,,,
Which universities are in England?,YES,Topo,,,,,
Which is the highest mountain in Ireland?,YES,Topo,,,,,
Which rivers are in Great Britain?,YES,Topo,,,,,
Which mountains are in Scotland?,YES,Topo,,,,,
What is the name of Britain's longest river?,,,,,,,
Which airports are in the city of Salford?,YES,Topo,,,,,
Where is Elizabeth Tower located?,,,,,,,
What is the number of universities in London?,,,,,,,
Where is a car park near Big Ben?,,,,,,,
Which pubs in Manchester are near the Old Trafford stadium?,,,,,,,
Which rivers are in Wales?,YES,Topo,,,,,
Is there a river that crosses Manchester?,YES,Topo,,,,,
Which rivers cross Derry?,YES,Topo,,,,,
Which counties of Scotland border England?,YES,Topo,,,,,
Which Scottish counties border England?,YES,Topo,,,,,
Which is the total area of Northern Ireland?,,,,,,,
Where is Nelson's Column located?,,,,,,,
Is there a car park at most 1km from Waterloo Bridge?,,,,,,,
Is the county of Antrim bigger than the county of Armagh?,,,,,,,
Does the county of Durham border Essex?,,,,,,,
Where is Trafalgar square located?,,,,,,,
Where is Emirates Stadium located?,,,,,,,
Which cities in England have at least 2 castles?,,,,,,,
Are the cities that River Thames crosses more than 10?,,,,,,,
Which castles are in the Highland council area of Scotland?,YES,Topo,,,,,
Which restaurants are at most 1km away from Big Ben?,,,,,,,
Are there any rivers that cross both England and Wales?,,,,,,,
How many are the counties of England?,,,,,,,
Which is the biggest county council in the Republic of Ireland?,,,,,,,
Which county of England occupies the largest area?,,,,,,,
Which is the smallest lake in Scotland?,,,,,,,
Is county Oxfordshire east of the county Essex?,YES,cdc,,,,,
What is the longest bridge in Scotland?,,,,,,,
Is there a national park near York?,,,,,,,
Which pubs in Dublin are near Guinness Brewery?,,,,,,,
Which hospital is nearest to Calton Hill in Edinburgh?,,,,,,,
Which cafes in Manchester are near Piccadilly Gardens?,,,,,,,
Which hospitals in Liverpool are near Abercromby Square?,,,,,,,
Which pubs in Liverpool are at most 2km from Anfield stadium?,,,,,,,
Which hotels in Manchester are near Wharfside Way?,,,,,,,
Which cafes in London are at most 3 km from St. Anthony the Great and St. John the Baptist church?,,,,,,,
Which pubs in Liverpool are near Anfield stadium?,,,,,,,
Which county is west of South Yorkshire?,YES,cdc,,,,,
Which department stores are at most 2km from Central Park hotel in London?,,,,,,,
Which hotels are in England's capital?,YES,Topo,,,,,
Where can I find a car park in Bristol?,,,,,,,
Which football stadium has the biggest capacity in Ireland?,,,,,,,
Which city of England is nearest to London?,,,,,,,
Which hotel is the nearest to Old Trafford Stadium in Manchester?,,,,,,,
Which universities are in county Essex?,YES,Topo,,,,,
Is there a forest in Lancashire north of Burnley?,YES,cdc,,,,,
Which villages are in Herefordshire?,YES,Topo,,,,,
Is there a church at most 2km from the University of Westminster?,,,,,,,
Is there a county of England that borders the Isle of Wight?,YES,Topo,,,,,
How many mountains are there in Scotland?,,,,,,,
Which site of Manchester is the most popular?,,,,,,,
Is there a church in the county of Greater Manchester dedicated to St. Patrick?,,,,,,,
Which city is southeast of Salford?,YES,cdc,,,,,
Is there a mountain in the county of Greater Manchester taller than 1300 meters above sea level?,,,,,,,
Is there a river in Ireland that crosses more than 3 cities?,,,,,,,
Which university colleges are in Scotland?,YES,Topo,,,,,
Which mountains in Scotland have height more than 1000 meters?,,,,,,,
Which villages in Scotland have a population of less than 500 people?,,,,,,,
In which city is Big Ben located?,,,,,,,
What's the name of the river that runs through London?,,,,,,,
Is there a Modern Art Museum in London?,,,,,,,
Which county of England has the biggest population?,,,,,,,
How many cities does Thames river crosses?,,,,,,,
Through which cities does River Thames flow?,,,,,,,
Does the distric of Coleraine border Belfast?,,,,,,,
Which districts border London?,YES,Topo,,,,,
Is there a train station in Dublin?,YES,Topo,,,,,
Which forests are in Northern Ireland?,YES,Topo,,,,,
Which are the metropolitan counties of England?,,,,,,,
Which is the largest royal borough of London?,,,,,,,
Which Welsh district has the most adjacent Welsh districts?,,,,,,,
What is the name of the river that flows under the Queensway Bridge in Liverpool?,,,,,,,
Is there a castle in London near Trafalgar Square?,,,,,,,
Is there a park in Dublin near Grafton Street?,,,,,,,
Is Hampshire north of Berkshire?,YES,cdc,,,,,
Which counties of England border country Scotland?,YES,Topo,,,,,
Is Trafalgar square located in London?,YES,Topo,,,,,
Which is the oldest bridge of London?,,,,,,,
Is there any airfield in Wellesbourne village in England?,,,,,,,
How many parks are there in Northampton?,YES,Topo,,,,,
Is there any stadium in Cardiff?,YES,Topo,,  ,,,
Is there an aerodrome in Essex?,YES,Topo,,,,,
Which aerodrome is in Essex?,YES,Topo,,,,,
Which aerodromes are at most 50km from London?,,,,,,,
Is Somerset west of Westmorland?,YES,cdc,,,,,
Is Edinburgh west of Glasgow?,YES,cdc,,,,,
How many rivers cross the county West Yorkshire?,YES,Topo,,,,,
How many cities does Merseyside have?,,,,,,,
Is there an airport in Dublin?,YES,Topo,,,,,
Which are the counties of Northern Ireland?,,,,,,,
What historic buildings are in Buckinghamshire?,YES,Topo,,,,,
Which Greek restaurants in London are near Wembley stadium?,,,,,,,
Is there a National Park in England?,YES,Topo,,,,,
Is there a mountain in Merseyside?,YES,Topo,,,,,
Which town has the biggest population in Scotland?,,,,,,,
Where is the nearest gas station to St. Peter's Square in Manchester?,,,,,,,
Does county Suffolk border county Durham?,YES,Topo,,,,,
Which counties of Ireland does River Shannon cross?,,,,,,,
Is Cavan a county of Ireland?,,,,,,,
Which restaurants are at most 500m from the University of Liverpool?,,,,,,,
Which restaurants are near Baker Street in London?,,,,,,,
Which lakes are in Ireland?,YES,Topo,,,,,
Which parks are near Trafalgar Square?,,,,,,,
Which countries border Wales?,YES,Topo,,,,,
Are there cities that are at most 2km away from St. David's in Wales?,,,,,,,
Which river crosses the most cities in England?,,,,,,,
Which is the longest river in Scotland?,,,,,,,
Which city in Scotland has the largest population?,,,,,,,
Which is the largest lake by area in Great Britain?,,,,,,,
Is England part of the United Kingdom ?,YES,Topo,,,,,
Which cities or towns of the United Kingdom have a university?,,,,,,,
Does Everton FC plays in Liverpool?,,,,,,,
Which towns of England have at least two hospitals?,,,,,,,
