,0
0,"at(15604, 'di', 241538)"
1,"at(15604, 'di', 202327)"
2,"at(15604, 'di', 73869)"
3,"at(15604, 'di', 29691)"
4,"at(15604, 'di', 27480)"
5,"at(15604, 'di', 49378)"
6,"at(15604, 'di', 209419)"
7,"at(15604, 'di', 27455)"
8,"at(15604, 'di', 179357)"
9,"at(15604, 'di', 221862)"
10,"at(15604, 'di', 155993)"
11,"at(15604, 'di', 153228)"
12,"at(15604, 'di', 27479)"
13,"at(15604, 'di', 138041)"
14,"at(15604, 'di', 74312)"
15,"at(15604, 'di', 219690)"
16,"at(15604, 'di', 42501)"
17,"at(15604, 'di', 137590)"
18,"at(15604, 'di', 208105)"
19,"at(15604, 'di', 79956)"
20,"at(15604, 'di', 242053)"
21,"at(15604, 'di', 254282)"
22,"at(15604, 'di', 192571)"
23,"at(15604, 'di', 22785)"
24,"at(15604, 'di', 76513)"
25,"at(15604, 'di', 227679)"
26,"at(15604, 'di', 31989)"
27,"at(15604, 'di', 83220)"
28,"at(15604, 'di', 196678)"
29,"at(15604, 'di', 245046)"
30,"at(15604, 'di', 176085)"
31,"at(15604, 'di', 256480)"
32,"at(15604, 'di', 122689)"
33,"at(15604, 'di', 43335)"
34,"at(15604, 'di', 228176)"
35,"at(15604, 'di', 66992)"
36,"at(15604, 'di', 49155)"
37,"at(15604, 'di', 160377)"
38,"at(15604, 'di', 171685)"
39,"at(15604, 'di', 89835)"
40,"at(15604, 'di', 176647)"
41,"at(15604, 'di', 63445)"
42,"at(15604, 'di', 30301)"
43,"at(15604, 'di', 83366)"
44,"at(15604, 'di', 126139)"
45,"at(15604, 'di', 56711)"
46,"at(15604, 'di', 242314)"
47,"at(15604, 'di', 154505)"
48,"at(15604, 'di', 70691)"
49,"at(15604, 'di', 105298)"
50,"at(15604, 'di', 206406)"
51,"at(15604, 'di', 103862)"
52,"at(15604, 'di', 209739)"
53,"at(15604, 'di', 252889)"
54,"at(15604, 'di', 153958)"
55,"at(15604, 'di', 110523)"
56,"at(15604, 'di', 110136)"
57,"at(15604, 'di', 137331)"
58,"at(15604, 'di', 84292)"
59,"at(22785, 'di', 242053)"
60,"at(22785, 'di', 76513)"
61,"at(22785, 'di', 83220)"
62,"at(22785, 'di', 196678)"
63,"at(22785, 'di', 254282)"
64,"at(22785, 'di', 137590)"
65,"at(22785, 'di', 42501)"
66,"at(22785, 'di', 176085)"
67,"at(22785, 'di', 31989)"
68,"at(22785, 'di', 219690)"
